time,white_co2,bela_co2,white_temp,bela_temp
8/12/19 9:00:00,3337.56,3133.43,17.41,18.85
8/12/19 9:10:00,3277.75,3061.26,17.45,18.87
8/12/19 9:20:00,3233.69,2975.17,17.44,18.9
8/12/19 9:30:00,3193.83,2913.63,17.47,18.93
8/12/19 9:40:00,3133.92,2873.74,17.52,18.95
8/12/19 9:50:00,3069.53,2792.29,17.54,18.95
8/12/19 10:00:00,3020.46,2762.62,17.57,18.98
8/12/19 10:10:00,2974.4,2688.3,17.59,19.02
8/12/19 10:20:00,2936.3,2629.73,17.62,19.05
8/12/19 10:30:00,2902.96,2583.19,17.63,19.06
8/12/19 10:40:00,2860.08,2538.43,17.66,19.07
8/12/19 10:50:00,2831.53,2489.43,17.69,19.08
8/12/19 11:00:00,2791.63,2470.59,17.72,19.12
8/12/19 11:10:00,2769.31,2434.35,17.74,19.15
8/12/19 11:20:00,2746.27,2400.67,17.74,19.17
8/12/19 11:30:00,2722.39,2367.2,17.78,19.2
8/12/19 11:40:00,2694.27,2325.3,17.82,19.24
8/12/19 11:50:00,2669.51,2289.46,17.84,19.3
8/12/19 12:00:00,2657.61,2246.27,17.88,19.34
8/12/19 12:10:00,2617.35,2217.4,17.92,19.37
8/12/19 12:20:00,2583.33,2183.48,17.95,19.4
8/12/19 12:30:00,2553.95,2151.9,17.97,19.43
8/12/19 12:40:00,2528.45,2136.75,17.99,19.46
8/12/19 12:50:00,2519.98,2113.65,18.05,19.5
8/12/19 13:00:00,2486.5,2085.32,18.11,19.55
8/12/19 13:10:00,2453.51,2044.71,18.15,19.62
8/12/19 13:20:00,2414.88,2003.62,18.25,19.76
8/12/19 13:30:00,2367.45,1967.94,18.36,19.92
8/12/19 13:40:00,2336.27,1912.28,18.44,20.01
8/12/19 13:50:00,2293.13,1866.43,18.51,20.1
8/12/19 14:00:00,2244.67,1832.63,18.61,20.17
8/12/19 14:10:00,2201.32,1803.16,18.73,20.28
8/12/19 14:20:00,2155.31,1761.9,18.82,20.35
8/12/19 14:30:00,2124.36,1729.67,18.9,20.41
8/12/19 14:40:00,2087.37,1709.8,18.97,20.47
8/12/19 14:50:00,2070.02,1692.6,19.03,20.5
